Mtech_Project,Server,Date,Utilization,Parameter,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-27T11:30:00,11.17277796,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-27T06:30:00,0.0772225,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-29T00:30:00,2.732500764,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-28T22:30:00,27.38083302,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-28T21:30:00,75.33527565,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-28T16:30:00,75.11249987,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-28T15:30:00,40.69750092,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-28T13:30:00,0.492222498,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-28T09:30:00,0.247500836,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-11T08:30:00,0.164165836,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-11T07:30:00,0.150555837,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-11T23:30:00,0.274720832,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-11T20:30:00,0.154723336,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-11T16:30:00,0.164444162,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-11T15:30:00,0.037221666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-13T01:30:00,0.163055829,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-12T21:30:00,0.033056667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-12T16:30:00,0.218610824,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-12T07:30:00,0.149721664,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-12T05:30:00,1.007500795,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T22:30:00,84.69916725,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T15:30:00,75.10861079,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T16:30:00,75.36138852,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T18:30:00,75.48861059,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T06:30:00,0.079445,CPU,,,,,
